	ID	affect_dimension	intensity_scores	intensity_descriptions	tweets
326	2017-En-10269	valence	-3	 very negative emotional state can be inferred	xxupp_str Did we miss the fact that  hashtag  burke ramsey swung &amp;hit his sister  hashtag  jonbenet in the face with a golf club previously out of a fit of  hashtag  anger
327	2017-En-40570	valence	-1	 slightly negative emotional state can be inferred	user_mention do we think the swallows and swifts have gone? xxupp_str Photo'd  number  nights ago, not seen since.  hashtag  autumn
328	2017-En-31459	valence	3	 very positive emotional state can be inferred	user_mention xxupp_str Okay this is hilarious
329	2017-En-11678	valence	1	 slightly positive emotional state can be inferred	xxupp_str Another loss to city in the cup next 🙈 😂😂 cmon united!
330	2017-En-21966	valence	-2	 moderately negative emotional state can be inferred	xxupp_str I'm so confused by the new xxupp_str American horror story 😩
331	2017-En-30626	valence	0	 neutral or mixed emotional state can be inferred	only time xxupp_all I am ever cheering for you xxupp_str Johnny
332	2017-En-30261	valence	3	 very positive emotional state can be inferred	user_mention but it's so aesthetically pleasing omg
333	2017-En-31115	valence	3	 very positive emotional state can be inferred	user_mention user_mention ditto!! xxupp_str Such an amazing atmosphere!  hashtag  philipp plein  hashtag  cheerleaders  hashtag  stunt  hashtag  london events
334	2017-En-10969	valence	0	 neutral or mixed emotional state can be inferred	xxupp_all HUGE xxupp_all CONGRATULATIONS xxupp_all TO xxupp_all NICOLE xxupp_all WINNING xxupp_all BIG xxupp_all BROTHER  number ! user_mention xxupp_all  hashtag  bb18 sorry not sorry  hashtag  bitter  hashtag  bb michelle
335	2017-En-30489	valence	2	 moderately positive emotional state can be inferred	i'm doing laundry and watching that  number 's show with a bunch of strangers.  hashtag  happy  hashtag  birthday  hashtag  to  hashtag  me
336	2017-En-11279	valence	-2	 moderately negative emotional state can be inferred	user_mention xxupp_all I am irate at you check-in system. xxupp_all I have tried to checkin all day and it wouldn't let me do it because xxupp_all I had no seat assigned
337	2017-En-30287	valence	1	 slightly positive emotional state can be inferred	user_mention hello xxupp_str Miss xxupp_str Lady xxupp_str I'm sure today brings you happiness and laughter use your voice also to make us laugh god knows we need it
338	2017-En-21366	valence	-3	 very negative emotional state can be inferred	user_mention you charge  number  extra for sending someone out and your cable service still doesn't work. xxupp_str That's robbery.  hashtag  cable  hashtag  horrible  hashtag  service
339	2017-En-30238	valence	1	 slightly positive emotional state can be inferred	xxupp_str Only xxupp_str Geo is capable of cheering me up❤️❤️❤️
340	2017-En-40059	valence	-2	 moderately negative emotional state can be inferred	xxupp_str Am xxupp_all I the only person who dislikes fall?  hashtag  first day off all  hashtag  leaves  hashtag  things die  hashtag  depressing  hashtag  cold  hashtag  no flip flops 👎🏾👎🏽👎🏻🍂🍁
341	2017-En-31500	valence	1	 slightly positive emotional state can be inferred	xxupp_str Latest on new optimism on keeping  hashtag  raiders in  hashtag  oakland live right now on user_mention : xxupp_all user_mention meets here w/Lott &amp; xxupp_str Schaaf to talk new stadium
342	2017-En-30772	valence	0	 neutral or mixed emotional state can be inferred	xxupp_str Harking back to  number  - xxupp_str DT's challenge to xxupp_all user_mention ...I will give...DT a hearty thank you...if he will release his tax returns....
343	2017-En-20315	valence	0	 neutral or mixed emotional state can be inferred	xxupp_str Accrington xxupp_str Stanley? xxupp_str Who are they? xxupp_str Exactly. xxupp_str Things looking dire for xxupp_str West xxupp_str Ham despite the win. xxupp_str What's changed since xxupp_str March?  hashtag  bbc football
344	2017-En-31343	valence	1	 slightly positive emotional state can be inferred	xxupp_str Let go of the need to need. xxupp_str And find your own joyous path through the richness that extends in every direction.
345	2017-En-31227	valence	1	 slightly positive emotional state can be inferred	user_mention xxupp_all I beg you, never stop smiling. xxupp_str You deserve to be happy and to know all the beautiful things that life can offers.
346	2017-En-20663	valence	0	 neutral or mixed emotional state can be inferred	i was just talking about it last week .. how does your outside appearance (ie. dread locks) affect the ability you have to work?
347	2017-En-31507	valence	1	 slightly positive emotional state can be inferred	xxupp_str Try to find the good in the negative. xxupp_str The negative can turn out to be good.\n hashtag anxietyrelief  hashtag  optimism  hashtag  open minded
348	2017-En-30195	valence	1	 slightly positive emotional state can be inferred	xxupp_str Lmboo , using my nephew for meme
349	2017-En-20918	valence	-2	 moderately negative emotional state can be inferred	user_mention user_mention user_mention user_mention user_mention xxupp_all I understand your concerns but look at her foundation contributions
350	2017-En-30655	valence	0	 neutral or mixed emotional state can be inferred	xxupp_str Well look at the bright side. xxupp_str You found a use for that rope  hashtag  tips to survive a power outage
351	2017-En-41014	valence	-2	 moderately negative emotional state can be inferred	user_mention user_mention xxupp_all I am beyond the sadness point. xxupp_str Have done it inside out. xxupp_all I live with xxupp_all CPTSD and xxupp_all BPD xxupp_all I can't always do the pity party
352	2017-En-30755	valence	1	 slightly positive emotional state can be inferred	user_mention from here, it's but a short step to biweekly xxupp_str Community xxupp_str Meetings over a hearty meal of soy flakes
353	2017-En-10265	valence	-1	 slightly negative emotional state can be inferred	user_mention xxupp_all 'I know you trusted me.' xxupp_str His words were soft as he ignored the anger and focused on the hurt beneath. xxupp_all 'I know xxupp_all I screwed up.' --
354	2017-En-10278	valence	-2	 moderately negative emotional state can be inferred	i have so much hw tonight im offended
355	2017-En-31533	valence	-1	 slightly negative emotional state can be inferred	is it bad that kurt is literally me..?  hashtag  glee
356	2017-En-11475	valence	-1	 slightly negative emotional state can be inferred	user_mention xxupp_str Look at those teef!  hashtag  growl
357	2017-En-11276	valence	-2	 moderately negative emotional state can be inferred	user_mention _Marotta yea because forcing  number  turnovers and holding a pretty good offense to  number  points is concerning.....oh wait. xxupp_all NO!!
358	2017-En-40755	valence	-1	 slightly negative emotional state can be inferred	user_mention _2401 hannah stop being mournful and chill 💁
359	2017-En-30802	valence	-3	 very negative emotional state can be inferred	xxupp_str Wanted to get him a cake with sparkling candles but he doesn't like cake😒😒. xxupp_str Ruins everything
360	2017-En-21567	valence	-1	 slightly negative emotional state can be inferred	xxupp_str Not sure if thats an accomplishment or something to worry about
361	2017-En-21501	valence	0	 neutral or mixed emotional state can be inferred	 number . sweater weather - the neighbourhood\ngirls/girls/boys - panic! at the disco
362	2017-En-31251	valence	3	 very positive emotional state can be inferred	xxupp_str But the lady at the store said xxupp_all I had nice eyelashes so that's good, right?  hashtag  optimism user_mention
363	2017-En-30060	valence	3	 very positive emotional state can be inferred	xxupp_str Made my night that user_mention xxupp_str Reid was included in tonight's hilarity. xxupp_str Some of those points were brilliant. xxupp_str Thanks user_mention _murray
364	2017-En-40319	valence	-3	 very negative emotional state can be inferred	user_mention  hashtag  do better only two carriages on  number : number  xxupp_str Birmingham to xxupp_str Hereford no room to stand anymore xxupp_str Friday commute  hashtag  unhappy
365	2017-En-30600	valence	0	 neutral or mixed emotional state can be inferred	xxupp_str Lil reminder that my private account is a delight of shittalking and occasionally xxupp_all NSFW stuff! user_mention
366	2017-En-20861	valence	-2	 moderately negative emotional state can be inferred	xxupp_str Jeans with fake pockets  hashtag  horrible
367	2017-En-10285	valence	-2	 moderately negative emotional state can be inferred	user_mention user_mention _92 what xxupp_all I miss?  hashtag  outrage
368	2017-En-30769	valence	-2	 moderately negative emotional state can be inferred	user_mention xxupp_all I would like to know about the source of xxupp_str The xxupp_str President's optimism about running the country. xxupp_all I wonder if he can answer my curiosity.
369	2017-En-40228	valence	-3	 very negative emotional state can be inferred	xxupp_str Some moving clips on youtube tonight of the vigil held at xxupp_str Tulsa xxupp_str Metropolitan xxupp_str Baptist church for  hashtag  terence c ruther  hashtag  justice  hashtag  anger  hashtag  sadness
370	2017-En-30293	valence	3	 very positive emotional state can be inferred	xxupp_str Do what makes you successful and  hashtag  happy now and forever
371	2017-En-30700	valence	0	 neutral or mixed emotional state can be inferred	xxupp_str One time xxupp_all I saw xxupp_str Rachel from glee tell someone their job was on a pole and xxupp_all I said that in 5th grade to a boy and he look confused
372	2017-En-20493	valence	0	 neutral or mixed emotional state can be inferred	user_mention mine are good rn, gonna be horrid after next week
373	2017-En-22095	valence	-3	 very negative emotional state can be inferred	user_mention user_mention user_mention xxupp_str Do your fuc*ing job and report the news.Just another bully to go in the basket.Freedom or fear???
374	2017-En-11342	valence	-2	 moderately negative emotional state can be inferred	user_mention xxupp_str Huh! xxupp_str It's always my fault isn't it &gt;:(  hashtag  sulk
375	2017-En-10186	valence	1	 slightly positive emotional state can be inferred	user_mention xxupp_str The guy who calls people 'cuck' and is anti-BLM is offended by idea that he might not be pro-policing reform? xxupp_str That's amazing.
376	2017-En-20632	valence	0	 neutral or mixed emotional state can be inferred	user_mention xxupp_all I was like that when xxupp_all I started college. xxupp_str It was horrific but it probably will get better. xxupp_str Don't give up yet
377	2017-En-41239	valence	0	 neutral or mixed emotional state can be inferred	xxupp_str I'm strong 'cause xxupp_str I'm weak\nI'm beautiful 'cause xxupp_all I know my flaws\nI'm fearless 'cause xxupp_str I've been afraid\nI can laugh 'cause xxupp_str I've known sadness..
378	2017-En-31544	valence	3	 very positive emotional state can be inferred	ari looks hilarious oh my g d this is too much
379	2017-En-31081	valence	3	 very positive emotional state can be inferred	xxupp_str Wishing the xxupp_str Ipswich xxupp_str Tigers good luck in their games throughout homecoming week!! xxupp_str We are cheering you on here at the xxupp_str City xxupp_str Office! xxupp_all GO xxupp_all TIGERS!
380	2017-En-40225	valence	-3	 very negative emotional state can be inferred	user_mention user_mention user_mention user_mention xxupp_str Take 2k out of it the numbers on madden are low and have dropped and people are unhappy
381	2017-En-41283	valence	0	 neutral or mixed emotional state can be inferred	user_mention species cf. xxupp_str Don xxupp_str Jr. refugees/Skittles.know he likes his snacks,but even user_mention frown on talking about eating humans  hashtag  lizards cum
382	2017-En-21982	valence	0	 neutral or mixed emotional state can be inferred	user_mention i know i don't know u, but physiatrists are seriously the number one best thing for people with anxiety.
383	2017-En-30743	valence	0	 neutral or mixed emotional state can be inferred	xxupp_str Gas prices are hilarious. xxupp_str Cause they're simultaneously super subsidised and taxed
384	2017-En-40635	valence	0	 neutral or mixed emotional state can be inferred	@_Mrs_Peel user_mention _lisa user_mention user_mention xxupp_str Might be the pout of a star baker tho !
385	2017-En-31274	valence	1	 slightly positive emotional state can be inferred	user_mention _ she was my favourite such a joyful soul
386	2017-En-11217	valence	-2	 moderately negative emotional state can be inferred	xxupp_str She began to squirm beneath user_mention , struggling to get out of his relentless grasp. xxupp_str When she realized that the attempt was useless,++
387	2017-En-30138	valence	2	 moderately positive emotional state can be inferred	xxupp_str When you wake up from a dream laughing at something stupid, and that makes you laugh more
388	2017-En-40324	valence	-2	 moderately negative emotional state can be inferred	user_mention maybe it'd have been different if xxupp_all I stayed for sixth form? xxupp_str But still, the oppressive architecture, uninteresting people
389	2017-En-40457	valence	-2	 moderately negative emotional state can be inferred	xxupp_str Niggas murking in each other. xxupp_str In murky water, xxupp_all I try to swim.
390	2017-En-40751	valence	-2	 moderately negative emotional state can be inferred	why do i have such a thing for dark curly hAIR
391	2017-En-41051	valence	0	 neutral or mixed emotional state can be inferred	user_mention i hate post con blues! xxupp_str But i avoided the plague too yay!! xxupp_str Yay constant hand sanitizer!!!
392	2017-En-41133	valence	-2	 moderately negative emotional state can be inferred	xxupp_all I get embarrassed at the slightest things and then xxupp_str I'll fret about it all day xxupp_all I hate it
393	2017-En-30559	valence	0	 neutral or mixed emotional state can be inferred	xxupp_str Had a coworker look at her phone and say, cheerfully, 'oh look, xxupp_str Kap's getting death threats now.' 🙄. xxupp_str Then she goes to say the 49ers are
394	2017-En-30466	valence	2	 moderately positive emotional state can be inferred	xxupp_str To all who follow me, whether we've ever talked or not hope you have a joyous life. xxupp_str Goodbye.
395	2017-En-40010	valence	-3	 very negative emotional state can be inferred	xxupp_str Honestly depression is kicking my ass lately.. 😔
396	2017-En-30699	valence	0	 neutral or mixed emotional state can be inferred	user_mention [He grumbled as he sat atop the sushi bar stool, crossing his arms defiantly, in a playful gesture, though he gave anyone who &gt;
397	2017-En-30164	valence	1	 slightly positive emotional state can be inferred	user_mention xxupp_str Guitar shop owners everywhere rejoice
398	2017-En-31111	valence	0	 neutral or mixed emotional state can be inferred	xxupp_all A  hashtag  smile doesn't always mean a person is  hashtag  happy . xxupp_str Sometimes it simply means they are  hashtag  strong enough to face their own  hashtag  problems .
399	2017-En-30711	valence	1	 slightly positive emotional state can be inferred	god, xxupp_str Facebook's design has started to remind me of xxupp_str MySpace in its heyday
400	2017-En-21627	valence	-2	 moderately negative emotional state can be inferred	xxupp_str Whenever you are confronted by a wild animal or hostile individual remember that they can smell  hashtag  fear or the fact you  hashtag  poop your pants.
401	2017-En-20623	valence	-2	 moderately negative emotional state can be inferred	broken policy'  hashtag  blasio &lt;&gt;  hashtag  trump  hashtag  giuliani 'broken windows' all part of 'pecking order'  hashtag  bully politics  hashtag  america xxupp_all RESIST  hashtag  motto
402	2017-En-30186	valence	1	 slightly positive emotional state can be inferred	xxupp_str It's xxupp_str Thursday which means it's xxupp_str Grey's day xxupp_all  hashtag  tg it
403	2017-En-31512	valence	0	 neutral or mixed emotional state can be inferred	xxupp_all I envy ice, at least if you give it warmth it melts  hashtag  taylor lautner  hashtag  twilight  hashtag  hilarious  hashtag  quote
404	2017-En-11648	valence	-2	 moderately negative emotional state can be inferred	xxupp_str Seeing double am so tired but xxupp_all I always grudge getting off my phone at night 🙄
405	2017-En-30853	valence	3	 very positive emotional state can be inferred	user_mention xxupp_all THANK xxupp_all YOU xxupp_all SO xxupp_all MUCH xxupp_all FOR xxupp_all COMING xxupp_all TO xxupp_all DETROIT xxupp_str I'm going to sob joyful rainbows now brb
406	2017-En-21645	valence	-2	 moderately negative emotional state can be inferred	user_mention _Moore13 user_mention user_mention yes exactly &amp; he's sold out this country to  hashtag  terror while  hashtag  lying to cover it up
407	2017-En-31366	valence	0	 neutral or mixed emotional state can be inferred	user_mention _dom xxupp_all I often imagine hoe our moon would feel meeting the jovial moons which are all special
408	2017-En-30172	valence	2	 moderately positive emotional state can be inferred	xxupp_str My siblings look all gangster &amp; xxupp_all I look all cheery 😅😂
409	2017-En-31016	valence	1	 slightly positive emotional state can be inferred	user_mention a laurel and hearty handshake
410	2017-En-10519	valence	3	 very positive emotional state can be inferred	user_mention yep. xxupp_all LOL
411	2017-En-11527	valence	-3	 very negative emotional state can be inferred	xxupp_str Losing the will  number  live with user_mention business bb gone down on hold for  number  minutes &amp; whoever picked up cut me off  hashtag  fuming  hashtag  no work for me
412	2017-En-10608	valence	0	 neutral or mixed emotional state can be inferred	user_mention papercuts sting and stub ur toe last for like  number  secs
413	2017-En-41166	valence	0	 neutral or mixed emotional state can be inferred	user_mention user_mention lmao awe...
414	2017-En-11264	valence	-3	 very negative emotional state can be inferred	xxupp_all I asked xxupp_str Jared to marry me and he said no.  hashtag  offended
415	2017-En-31223	valence	0	 neutral or mixed emotional state can be inferred	xxupp_str Good xxupp_str Master xxupp_str Vernon, welcome, nephews, from xxupp_str Bellario :\nThere is my lord, that thou interrupt'st our merriment.
416	2017-En-41115	valence	3	 very positive emotional state can be inferred	user_mention thanks for playing xxupp_str Crock xxupp_str Pot xxupp_str Going  hashtag  radio  hashtag  blog  hashtag  blues  hashtag  music  hashtag  indie music
417	2017-En-40537	valence	0	 neutral or mixed emotional state can be inferred	xxupp_str Fellaini has been playing ahead of this guy...just let that sink in
418	2017-En-31101	valence	1	 slightly positive emotional state can be inferred	xxupp_str The world needs more laughter, more love, and a little more of you. - xxupp_all R.M xxupp_str Drake.
419	2017-En-10064	valence	-2	 moderately negative emotional state can be inferred	xxupp_str Boycotting user_mention till butter pecan comes back. xxupp_all I am furious
420	2017-En-40312	valence	-2	 moderately negative emotional state can be inferred	user_mention xxupp_str Just a shame his world was gloom from day one almost.Though it makes sense he'd have the whole part hydra,part s.h.i.e.l.d(c)
421	2017-En-30578	valence	3	 very positive emotional state can be inferred	xxupp_str Go follow  hashtag  beautiful  hashtag  snow gang ♥ user_mention ♥  hashtag  princess  hashtag  fitness  hashtag  body posi  hashtag  haircut  hashtag  white girl wednesday
422	2017-En-10760	valence	-1	 slightly negative emotional state can be inferred	xxupp_str Tiangong  number , xxupp_str China's first space laboratory, will come to a fiery end in late  number . xxupp_str The average decommissioned satellite either burns ...
423	2017-En-31576	valence	1	 slightly positive emotional state can be inferred	xxupp_str Cool to see when smart  hashtag  cowboys twitter folks chirp the same stuff you did during your review. xxupp_str This is why xxupp_all I joined.
424	2017-En-10970	valence	3	 very positive emotional state can be inferred	xxupp_all HUGE xxupp_all CONGRATULATIONS xxupp_all TO xxupp_all NICOLE xxupp_all WINNING xxupp_all BIG xxupp_all BROTHER  number ! user_mention xxupp_all  hashtag  bb18 sorry not sorry  hashtag  bb michelle
425	2017-En-31265	valence	-3	 very negative emotional state can be inferred	xxupp_str After this news xxupp_str I'm supposed to be so damn happy and rejoicing but xxupp_str I'm here like 😩😔😭😞
426	2017-En-20410	valence	-2	 moderately negative emotional state can be inferred	user_mention _Talbot user_mention xxupp_str Haha...sorry about the dreadful puns... xxupp_all I need to get out more....I've been cooped up lately...
427	2017-En-30762	valence	0	 neutral or mixed emotional state can be inferred	xxupp_all I was cheering for xxupp_all NA team. xxupp_str Now xxupp_all I just want this is over and xxupp_str Gaudreau comes back in one piece. xxupp_str It is getting way too risky
428	2017-En-30492	valence	0	 neutral or mixed emotional state can be inferred	xxupp_str It breaks my heart seeing people down or upset.. xxupp_all I will try my best to make them smile or cheer them up 🤗
429	2017-En-30815	valence	-2	 moderately negative emotional state can be inferred	xxupp_str The abysmal ignorance, frivolity and levity of the xxupp_str Italian priests stupefied him.' - xxupp_str Roland xxupp_str Bainton on xxupp_str Luther,  hashtag  reformation day
430	2017-En-30423	valence	0	 neutral or mixed emotional state can be inferred	xxupp_str Always doing the xxupp_str EmotionalHedge™ w  hashtag  wps nn im elated about start. xxupp_str Have xxupp_all I mentioned xxupp_str I'm on xxupp_all TAMU - number ?!
431	2017-En-30955	valence	3	 very positive emotional state can be inferred	 hashtag  terrible debate questions has given me so many laughs this afternoon! xxupp_str Thanks xxupp_str Twitter!  hashtag  hilarious  hashtag  clever people
432	2017-En-21571	valence	0	 neutral or mixed emotional state can be inferred	xxupp_str When's it all finished, you will discover that it was never random!  hashtag  thoughts  hashtag  restless  hashtag  crossover life
433	2017-En-31462	valence	3	 very positive emotional state can be inferred	user_mention xxupp_all BIG thank you for liking my little xxupp_str Pumpkin :) xxupp_str She's the smallest of my  number , but is very playful &amp; wakes me up most mornings.
434	2017-En-30028	valence	3	 very positive emotional state can be inferred	user_mention xxupp_str Good morning, love! xxupp_str Happy first day of fall. xxupp_str Let's make some awesome  hashtag  autumn memories  hashtag  anna bailey
435	2017-En-11443	valence	0	 neutral or mixed emotional state can be inferred	xxupp_str What's with all pre industrial revolution-esque footwear? xxupp_str You guys tryin out for grapes of wrath today?
436	2017-En-21222	valence	-2	 moderately negative emotional state can be inferred	xxupp_str Thanks for ripping me off again  hashtag  lu than sa € number  not enough for a one way flight to man from xxupp_str Frk then € number  for a bag then free at gate
437	2017-En-30957	valence	2	 moderately positive emotional state can be inferred	user_mention user_mention i just read it and it's so fun??!!!! xxupp_str So lighthearted and cheerful, i was right, it's a double cavity for me.
438	2017-En-20314	valence	-3	 very negative emotional state can be inferred	user_mention _Norwegian quite simply the  hashtag  worst  hashtag  airline  hashtag  worst airline xxupp_str I've ever used!  hashtag  shocking  hashtag  ap pauling  hashtag  dire  hashtag  dismal  hashtag  beyond a joke  hashtag  useless
439	2017-En-30262	valence	0	 neutral or mixed emotional state can be inferred	 hashtag  follow back xxupp_str Quote_Soup: xxupp_str Be happy not because everything is good, but because you can see the good side of everything.
440	2017-En-31551	valence	3	 very positive emotional state can be inferred	xxupp_str Like xxupp_all I said ➡ there's plenty of cheddar in the cheese to go around! xxupp_str For everyone. ☺
441	2017-En-10455	valence	-2	 moderately negative emotional state can be inferred	user_mention _is__bored exactly what xxupp_all I have been saying on fb..  hashtag  bitter
442	2017-En-41331	valence	-3	 very negative emotional state can be inferred	user_mention user_mention user_mention user_mention so you were owned by losers on xxupp_str Twitter
443	2017-En-20462	valence	-2	 moderately negative emotional state can be inferred	user_mention xxupp_str She blamed xxupp_str Benghazi on a xxupp_str YouTube video. xxupp_str She blamed emails on  hashtag  colin powell xxupp_str Now she blames  hashtag  terrorism on you.  hashtag  weak hillary
444	2017-En-10247	valence	-3	 very negative emotional state can be inferred	i will never watch greys anatomy ever ever ever ever ever again if xxupp_str Shonda xxupp_str Rimes takes away another xxupp_all OG character☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️  hashtag  fuming
445	2017-En-21103	valence	1	 slightly positive emotional state can be inferred	user_mention xxupp_str We're glad to hear that everything is resolved. xxupp_str If you need anything else, please do not hesitate to reach out to us. xxupp_all TY!
446	2017-En-31359	valence	0	 neutral or mixed emotional state can be inferred	xxupp_all ...X, xxupp_all X... xxupp_str Do... you... hear... me? xxupp_str Darn... xxupp_str Your... optimism led... ...to your own... demise... ... xxupp_str You... should... li...live  hashtag  zero bot
447	2017-En-31588	valence	1	 slightly positive emotional state can be inferred	xxupp_str Well that draw is lively!  hashtag  efl cup
448	2017-En-31234	valence	0	 neutral or mixed emotional state can be inferred	user_mention xxupp_str Just my attempt at levity 😉
449	2017-En-41214	valence	-1	 slightly negative emotional state can be inferred	xxupp_str Only xxupp_str God knows why things happen, sometimes it's just hard to understand.  hashtag  praying for you
450	2017-En-30965	valence	0	 neutral or mixed emotional state can be inferred	xxupp_str The little sniffle at the end of the song gets me every time.
451	2017-En-21572	valence	0	 neutral or mixed emotional state can be inferred	xxupp_str When's it all finished, you will discover that it was never random!  hashtag  thoughts  hashtag  crossover life
452	2017-En-31520	valence	-2	 moderately negative emotional state can be inferred	user_mention &lt;she really said in response to what she perceived as a forced jovial tone. xxupp_str With that, she slid out of the jeep and onto&gt;
453	2017-En-30833	valence	0	 neutral or mixed emotional state can be inferred	user_mention user_mention liking the optimism
454	2017-En-10286	valence	-2	 moderately negative emotional state can be inferred	user_mention xxupp_str It's 'Eye-for-Eye'. xxupp_str Indian xxupp_str Army never forgives, xxupp_str Never xxupp_str Forgets. xxupp_str They always take revenge, xxupp_str Pakistan breaks laws, xxupp_all I.A follows
455	2017-En-11104	valence	-2	 moderately negative emotional state can be inferred	user_mention going back to blissful ignorance?!
456	2017-En-40638	valence	-2	 moderately negative emotional state can be inferred	xxupp_str Already plotting next steps if xxupp_all I get cut off by the same minivan in tomorrow's drop-off line.  hashtag  preschool politics  hashtag  mom things
457	2017-En-30296	valence	3	 very positive emotional state can be inferred	 hashtag  smile every morning to a positive head start with your  hashtag  clients relations
458	2017-En-31580	valence	2	 moderately positive emotional state can be inferred	xxupp_str I'll find xxupp_str Myself smiling and even laughing at jokes that xxupp_all I don't even think are particularly funny, and xxupp_all I know it's because xxupp_all YOU love them!
459	2017-En-30753	valence	0	 neutral or mixed emotional state can be inferred	my haters are like crickets. they chirp all day but when xxupp_all I walk past them they shut the fuck up.- user_mention (my idol)
460	2017-En-30382	valence	3	 very positive emotional state can be inferred	xxupp_str Thinking about trying some comedy on youtube. xxupp_str Always been fond of it. xxupp_str Time to nut up.  hashtag  comedy  hashtag  may be one day  hashtag  hopefully funny xxupp_all  hashtag  lol
461	2017-En-41035	valence	0	 neutral or mixed emotional state can be inferred	xxupp_str It hasn't sunk in that xxupp_str I'm meeting the twins
462	2017-En-20128	valence	-2	 moderately negative emotional state can be inferred	user_mention lydiaaaa, we were the only ones that were supposed to know that you make me nervous 😶
463	2017-En-31568	valence	3	 very positive emotional state can be inferred	user_mention _baby happppy happppyyyyyy happppppyyyyy haaapppyyyy birthday best friend!! xxupp_str Love you lots 💖💖💖💖💖💖💖🎉🎊  hashtag  chapter  number   hashtag  bday girl  hashtag  love
464	2017-En-31079	valence	-2	 moderately negative emotional state can be inferred	user_mention xxupp_all I admittedly went into this series thinking we'd see the xxupp_str Jedi in their heyday, not as dysfunctional xxupp_all UN xxupp_str Peacekeepers in space
465	2017-En-10978	valence	-2	 moderately negative emotional state can be inferred	user_mention please tell us why 'protesting' injustice requires  hashtag  burning  hashtag  beating and  hashtag  looting terrible optics  hashtag  toussaint romain is true leader!
466	2017-En-30877	valence	1	 slightly positive emotional state can be inferred	user_mention have some issues with my broadband bill xxupp_all ,I am charged for the month before xxupp_all I signed up with airtel..  hashtag  hilarious
467	2017-En-30595	valence	0	 neutral or mixed emotional state can be inferred	what happened to breezy
468	2017-En-31221	valence	1	 slightly positive emotional state can be inferred	brennan cook and breezy should get back together😍😍😍
469	2017-En-30748	valence	0	 neutral or mixed emotional state can be inferred	xxupp_str Who actually chooses to drink sparkling water 🤔
470	2017-En-31256	valence	1	 slightly positive emotional state can be inferred	xxupp_str The true way to render ourselves  hashtag  happy is to love our work and find in it our pleasure. xxupp_str Francoise de xxupp_str Motteville
471	2017-En-20154	valence	1	 slightly positive emotional state can be inferred	im like 'this is better' in the moment cuz i panic and then later its so obviously not better. at every opportunity i choose to make it seem
472	2017-En-40045	valence	-3	 very negative emotional state can be inferred	xxupp_str Well my evaluation came back and i am minimally effective. xxupp_str Student test scores on the xxupp_all PARCC sunk my eval. it's time for me to quit teaching
473	2017-En-40664	valence	1	 slightly positive emotional state can be inferred	user_mention user_mention _OB we sound like vampires saying we wanna sink our teeth into the xxupp_all TT lads and their talents 😂😂😂😂😂😂
474	2017-En-30039	valence	2	 moderately positive emotional state can be inferred	xxupp_str Getting my comedic relief w/ user_mention during season premiere of  hashtag  modern family xxupp_str Just what a girl needs!  hashtag  hilarious
475	2017-En-21422	valence	0	 neutral or mixed emotional state can be inferred	user_mention xxupp_str Aw no problem. xxupp_all I just felt like speaking because xxupp_all I felt the same before and xxupp_all I want you to overcome it and not be discouraged. :)
476	2017-En-30962	valence	2	 moderately positive emotional state can be inferred	user_mention xxupp_str Ciara asks was it a sci-fi movie, xxupp_str Julie &amp; xxupp_str Jen just stare, xxupp_str Claire on her phone, xxupp_str Joey bolts when the cab honks. xxupp_all LMAO
477	2017-En-40226	valence	-2	 moderately negative emotional state can be inferred	xxupp_all I have no clue where my charger is...  hashtag  lost
478	2017-En-30007	valence	2	 moderately positive emotional state can be inferred	 hashtag  bridget jones baby is the best thing xxupp_str I've seen in ages! xxupp_str So funny, xxupp_str I've missed xxupp_str Bridget!  hashtag  love  hashtag  team mark
479	2017-En-31175	valence	0	 neutral or mixed emotional state can be inferred	*gets crushes on fictional and animated characters instead if real people*
480	2017-En-11466	valence	1	 slightly positive emotional state can be inferred	xxupp_str She's foaming at the lips the one between her hips user_mention , one of many great lyrics
481	2017-En-11515	valence	0	 neutral or mixed emotional state can be inferred	the xxupp_str Bushes were good with the forces of resentment when it made them money and gave them power. xxupp_str Now that it doesn't they've changed tunes.
482	2017-En-30335	valence	1	 slightly positive emotional state can be inferred	user_mention xxupp_str Oh please! xxupp_all INC talking about looting! xxupp_str I'm not saying xxupp_all  hashtag  bjp is pure but this is such a  hashtag  hilarious  hashtag  irony user_mention is def better!
483	2017-En-21800	valence	-1	 slightly negative emotional state can be inferred	 hashtag  pakistan is ‘terrorist state’, carries out  hashtag  war crimes:  hashtag  india to user_mention .\n xxupp_all  hashtag  unga xxupp_all  hashtag  un
484	2017-En-31106	valence	0	 neutral or mixed emotional state can be inferred	xxupp_str Not by wrath does one kill, but by laughter. xxupp_str Friedrich xxupp_str Nietzsche  hashtag  friedrich nietzsche
485	2017-En-40204	valence	-3	 very negative emotional state can be inferred	xxupp_str If xxupp_str Payet goes either in xxupp_str Jan or @ the seasons end, can't say xxupp_all I blame him. xxupp_str The boy must b so disheartened by what he's seeing at the mo.
486	2017-En-31126	valence	-2	 moderately negative emotional state can be inferred	xxupp_str The jovial laughter that xxupp_str Trump and his lackeys showed when xxupp_str Don xxupp_str King used the xxupp_all N word was a truly bizarre sight
